ts	phase	decision	why	evidence	result
2026-08-26T05:18:00Z	inspect	Use document.modelContext and AbortController-scoped registrations	The current specification and Chrome documentation define this API	WebMCP specification and Chrome imperative API	accepted
2026-08-26T05:18:00Z	inspect	Use Vercel for Next.js and a single Render instance for Rust and SQLite	This keeps browser traffic same-origin while preserving a transactional Rust service	docs/TECHNICAL_SPEC.md	accepted
2026-08-26T05:18:00Z	inspect	Use Bun as the only JavaScript package manager	The user explicitly selected Bun	package.json	accepted
2026-08-26T05:18:00Z	inspect	Keep the Devpost rules acknowledgment pending	Competition terms require explicit human acknowledgment	.devpost-hackathon-state.json	open
2026-08-26T05:44:36Z	specification	Created the Cargo and Bun workspaces plus the decision-complete document set	Future agents need one current handoff and explicit build boundaries	docs/STATUS.md, docs/TECHNICAL_SPEC.md, docs/BUILD_CHECKLIST.md	checks pass
2026-08-26T05:45:00Z	specification	Left the phase checkpoint uncommitted	Git has no configured author identity and the agent will not invent one	git commit output	blocked, work continues
2026-08-26T06:35:37Z	walking-skeleton	Stored one complete deterministic scenario per cookie-bound session	Judge state must remain isolated and later recovery checks need persisted release state	crates/persistence/migrations/0001_sessions.sql, crates/api/tests/walking_skeleton.rs	tests pass
2026-08-26T06:35:37Z	walking-skeleton	Used an external Next.js rewrite for the Rust API	The browser keeps one visible origin and the Rust service stays independently deployable	apps/web/next.config.ts, apps/web/e2e/walking-skeleton.spec.ts	browser test passes
2026-08-26T06:35:37Z	walking-skeleton	Pinned TypeScript 6.0.3	The current TypeScript ESLint parser rejects TypeScript 7	apps/web/package.json	lint and build pass
2026-08-26T07:15:59Z	investigation	Marked the complete log tool output as untrusted	One customer log intentionally resembles a prompt injection and must remain data	apps/web/src/lib/webmcp/investigation-tools.ts, output/playwright/phase-3-investigation.png	browser journey passes
2026-08-26T07:15:59Z	investigation	Registered four investigation tools before adding recovery actions	The root-cause journey can be verified independently while execution remains impossible	apps/web/src/lib/webmcp/investigation-tools.ts, apps/web/e2e/walking-skeleton.spec.ts	execution tool absent
2026-08-26T12:18:56Z	recovery-design	Selected normalized recovery facts with a Rust-produced execution capability	This removes duplicate JSON authority while keeping the browser interface small	docs/superpowers/specs/2026-08-26-phase-4-6-design.md	accepted after two architecture candidates and cross-judge
2026-08-29T06:02:23Z	recovery	Normalized plan evidence and made lifecycle writes atomic	Rust must prove the exact human-approved facts and preserve audit consistency	crates/domain/src/recovery.rs, crates/persistence/migrations/0004_recovery_lifecycle.sql	25 Rust tests pass
2026-08-29T06:02:23Z	recovery	Made execution capability a Rust-owned browser envelope	Plan status and browser time are not authorization decisions	crates/api/src/lib.rs, apps/web/src/components/control-room.tsx	5 Chromium journeys pass
2026-08-29T06:02:23Z	recovery	Revoked old sessions and recorded reset lineage	Cookie rotation alone leaves captured old authority usable	crates/persistence/src/recovery.rs, crates/api/tests/walking_skeleton.rs	reset and cross-session tests pass
2026-08-29T06:16:17Z	security	Stopped reissuing replacement sessions to revoked reset cookies	Reset retry semantics cannot revive an invalid credential	crates/persistence/src/recovery.rs, crates/persistence/tests/session_store.rs	focused regression passes
2026-08-29T06:16:17Z	security	Applied one active-session guard to all session-scoped reads	Expiration and reset must remove both read and write authority	crates/api/src/lib.rs, crates/api/tests/walking_skeleton.rs	focused regression passes
2026-08-29T06:16:17Z	security	Pruned inactive sessions and capped active sessions at 256	Anonymous public allocation must not grow SQLite without a bound	crates/persistence/src/session.rs, crates/persistence/tests/session_store.rs	capacity and pruning test passes
2026-08-29T06:16:17Z	security	Completed standard scan cdcd1165-48d1-4526-9e63-9df47b9aff3c	Phase 5 requires source-backed validation against the threat model	/tmp/codex-security-scans-z6aIde/webmcp-project/ee0451eefe01630ce5bff9ac9d2fd510dc6ee6a7_20260829T060842Z_r1yc0qm8/report.md	3 findings fixed and verified
2026-08-29T17:24:17Z	verification	Moved session-retention hardening into additive migration 5	Editing an applied migration caused a checksum mismatch on the real local database	crates/persistence/migrations/0005_session_retention.sql	existing database and fresh tests pass
2026-08-29T17:24:17Z	verification	Waited for Rust and Next.js independently in Playwright	The frontend could become ready while a cold Rust build still blocked the API	apps/web/playwright.config.ts	5 cold-start journeys pass
2026-08-29T17:24:17Z	verification	Added native callback options fallback and deferred registration cleanup	Chrome 151 omits callback options and React remount cleanup briefly removed dynamic tools	apps/web/src/lib/webmcp/registry.ts, apps/web/src/lib/webmcp/registry.test.ts	native prepare approve execute verify passes
2026-08-29T17:24:17Z	verification	Completed all Phase 6 local release gates	The handoff requires direct evidence from code, browser, containers, and native WebMCP	docs/phase-reports/06-full-verification.md	Phase 6 completed, Phase 7 pending
2026-08-29T17:24:17Z	security	Superseded preflight-only scan 8ca2d50d-9943-4b4b-9c91-83c46cc5b660 with completed scan cdcd1165-48d1-4526-9e63-9df47b9aff3c	The first launch token was not retained, so it could not own progress or artifacts	Codex Security scan context	canonical scan completed; first record remains at preflight
2026-08-31T12:51:17Z	deployment	Selected Vercel Hobby plus Ankan-Linux and Tailscale Funnel	This keeps the verified SQLite transaction model, uses free HTTPS ingress, and avoids a deadline-risk database migration	docs/DEPLOYMENT.md	accepted, implementation started
